student_id,school_year,season,assessment,subject,value_type,value,school,grade_num,source_file,year_confidence
2010688,2022-23,Fall,STAR,Reading,score,1093.0,Berkeley High School,9.0,base_data.xlsx,High
2010687,2022-23,Fall,STAR,Reading,score,1071.0,Berkeley High School,9.0,base_data.xlsx,High
2018672,2022-23,Fall,STAR,Reading,score,1040.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2022640,2022-23,Fall,STAR,Reading,score,993.0,John Muir Elementary School,4.0,base_data.xlsx,High
2011708,2022-23,Fall,STAR,Reading,score,1051.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2012356,2022-23,Fall,STAR,Reading,score,943.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2018534,2022-23,Fall,STAR,Reading,score,993.0,Berkeley Arts Magnet Elementary School,5.0,base_data.xlsx,High
2015374,2022-23,Fall,STAR,Reading,score,955.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2014971,2022-23,Fall,STAR,Reading,score,1084.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2014279,2022-23,Fall,STAR,Reading,score,993.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2011412,2022-23,Fall,STAR,Reading,score,1084.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2016547,2022-23,Fall,STAR,Reading,score,1000.0,Cragmont Elementary School,5.0,base_data.xlsx,High
2013610,2022-23,Fall,STAR,Reading,score,889.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2015864,2022-23,Fall,STAR,Reading,score,982.0,Washington Elementary School,5.0,base_data.xlsx,High
2015421,2022-23,Fall,STAR,Reading,score,943.0,Willard Middle School,7.0,base_data.xlsx,High
2013113,2022-23,Fall,STAR,Reading,score,1021.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2017795,2022-23,Fall,STAR,Reading,score,894.0,John Muir Elementary School,4.0,base_data.xlsx,High
2020528,2022-23,Fall,STAR,Reading,score,1053.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2022131,2022-23,Fall,STAR,Reading,score,939.0,Cragmont Elementary School,4.0,base_data.xlsx,High
2011859,2022-23,Fall,STAR,Reading,score,991.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2018232,2022-23,Fall,STAR,Reading,score,908.0,John Muir Elementary School,4.0,base_data.xlsx,High
2012657,2022-23,Fall,STAR,Reading,score,1047.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2011242,2022-23,Fall,STAR,Reading,score,1123.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2021074,2022-23,Fall,STAR,Reading,score,855.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2020708,2022-23,Fall,STAR,Reading,score,1045.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2014925,2022-23,Fall,STAR,Reading,score,1005.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2014776,2022-23,Fall,STAR,Reading,score,996.0,Willard Middle School,6.0,base_data.xlsx,High
2016832,2022-23,Fall,STAR,Reading,score,1038.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2016372,2022-23,Fall,STAR,Reading,score,998.0,Washington Elementary School,5.0,base_data.xlsx,High
2021091,2022-23,Fall,STAR,Reading,score,1080.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2011779,2022-23,Fall,STAR,Reading,score,1026.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2014442,2022-23,Fall,STAR,Reading,score,1010.0,Willard Middle School,6.0,base_data.xlsx,High
2015058,2022-23,Fall,STAR,Reading,score,1008.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
