student_id,school_year,assessment,subject,score,school,grade_num,source_file,year_confidence,year_confidence_reason
2015589,2022-23,CAASPP,ELA,2426.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2015643,2022-23,CAASPP,ELA,2424.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2016392,2022-23,CAASPP,ELA,2568.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2016575,2022-23,CAASPP,ELA,2558.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2016832,2022-23,CAASPP,ELA,2485.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2017248,2022-23,CAASPP,ELA,2604.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012204,2022-23,CAASPP,ELA,2541.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2018560,2022-23,CAASPP,ELA,2510.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2018672,2022-23,CAASPP,ELA,2494.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2018743,2022-23,CAASPP,ELA,2419.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2019710,2022-23,CAASPP,ELA,2493.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2021091,2022-23,CAASPP,ELA,2496.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2021078,2022-23,CAASPP,ELA,2437.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2021207,2022-23,CAASPP,ELA,2408.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2021318,2022-23,CAASPP,ELA,2433.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2022299,2022-23,CAASPP,ELA,2358.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2022618,2022-23,CAASPP,ELA,2453.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2022781,2022-23,CAASPP,ELA,2383.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2022949,2022-23,CAASPP,ELA,2307.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2023068,2022-23,CAASPP,ELA,2417.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2023504,2022-23,CAASPP,ELA,2383.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2007210,2022-23,CAASPP,ELA,2694.0,Willard Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
